,value,temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2019-05-23 03:00:00+05:00,105.5,27.84,18.44,0.57,2.24,258.5,0.62,0.06
2019-05-23 04:00:00+05:00,92.0,27.49,18.53,0.58,2.71,223.98,0.81,0.06
2019-05-23 05:00:00+05:00,39.4,27.71,18.93,0.59,1.36,195.21,0.86,0.08
2019-05-23 06:00:00+05:00,26.0,27.64,18.93,0.59,0.47,301.33,0.46,0.05
2019-05-23 07:00:00+05:00,27.3,27.51,19.0,0.6,0.95,35.71,0.26,0.24
2019-05-23 08:00:00+05:00,38.0,27.79,18.09,0.56,1.58,69.65,0.42,0.19
2019-05-23 09:00:00+05:00,40.7,29.34,17.73,0.5,3.25,126.09,0.69,0.01
2019-05-23 10:00:00+05:00,34.8,32.6,16.38,0.38,2.81,138.9,0.52,0.01
2019-05-23 11:00:00+05:00,87.2,33.66,16.94,0.37,0.62,192.88,0.42,0.04
2019-05-23 12:00:00+05:00,66.8,34.21,17.49,0.37,0.76,240.57,0.35,0.02
2019-05-23 13:00:00+05:00,36.0,35.66,16.6,0.32,0.58,282.47,0.55,0.01
2019-05-23 14:00:00+05:00,36.8,36.63,15.8,0.29,2.8,198.03,0.7,0.35
2019-05-23 15:00:00+05:00,37.2,30.39,20.35,0.55,5.03,203.03,0.82,1.79
2019-05-23 16:00:00+05:00,44.0,31.09,20.71,0.54,3.47,187.62,0.63,0.33
2019-05-23 17:00:00+05:00,46.1,32.32,20.06,0.48,2.26,131.42,0.63,0.0
2019-05-23 18:00:00+05:00,53.0,32.84,19.44,0.45,2.39,107.69,0.66,0.0
2019-05-23 19:00:00+05:00,55.8,30.8,20.85,0.55,1.41,93.77,0.49,0.0
2019-05-23 20:00:00+05:00,52.2,30.1,20.25,0.56,1.07,46.27,0.44,0.0
2019-05-23 21:00:00+05:00,61.9,29.21,20.15,0.58,1.34,357.5,0.48,0.0
2019-05-23 22:00:00+05:00,89.1,27.13,20.06,0.65,1.76,344.3,0.48,0.0
2019-05-23 23:00:00+05:00,102.5,27.38,20.1,0.65,2.22,349.98,0.22,0.0
2019-05-24 00:00:00+05:00,316.1,26.68,20.17,0.67,1.95,355.62,0.3,0.0
2019-05-24 01:00:00+05:00,91.7,25.09,20.22,0.74,1.71,357.3,0.37,0.0
2019-05-24 02:00:00+05:00,112.5,25.29,20.27,0.74,1.77,355.69,0.3,0.01
2019-05-24 03:00:00+05:00,126.2,23.97,18.65,0.72,2.9,264.05,0.28,0.01
2019-05-24 04:00:00+05:00,47.7,24.11,18.68,0.72,3.32,259.1,0.41,0.0
2019-05-24 05:00:00+05:00,41.6,23.76,18.75,0.74,2.36,277.74,0.52,0.0
2019-05-24 06:00:00+05:00,33.9,23.38,18.3,0.73,2.19,342.22,0.39,0.0
2019-05-24 07:00:00+05:00,63.6,22.65,18.08,0.75,2.77,20.55,0.29,0.02
2019-05-24 08:00:00+05:00,166.3,24.0,17.84,0.68,2.89,45.33,0.17,0.0
2019-05-24 09:00:00+05:00,60.8,26.25,18.76,0.63,2.87,63.59,0.18,0.0
2019-05-24 10:00:00+05:00,48.2,28.5,18.09,0.53,2.42,74.84,0.21,0.0
2019-05-24 11:00:00+05:00,53.0,28.49,19.58,0.58,1.11,65.77,0.24,0.39
2019-05-24 12:00:00+05:00,49.1,26.5,20.14,0.68,1.04,331.17,0.37,0.03
2019-05-24 13:00:00+05:00,38.1,29.71,19.07,0.53,1.17,333.59,0.28,0.06
2019-05-24 14:00:00+05:00,36.8,31.09,19.25,0.49,0.81,351.64,0.28,0.19
2019-05-24 15:00:00+05:00,30.1,32.9,18.54,0.43,1.02,10.7,0.28,0.03
2019-05-24 16:00:00+05:00,29.1,32.71,18.76,0.44,1.46,36.62,0.27,0.2
2019-05-24 17:00:00+05:00,30.1,30.46,19.43,0.52,1.58,15.03,0.51,0.46
2019-05-24 18:00:00+05:00,32.6,31.13,18.91,0.48,1.71,337.47,0.73,0.0
2019-05-24 19:00:00+05:00,47.7,29.36,20.97,0.61,1.69,285.63,0.64,0.0
2019-05-24 20:00:00+05:00,39.9,27.75,20.43,0.64,2.96,296.22,0.69,0.0
2019-05-24 21:00:00+05:00,68.2,27.1,20.2,0.66,3.11,308.78,0.33,0.0
2019-05-24 22:00:00+05:00,100.3,24.69,19.85,0.74,3.42,326.56,0.15,0.0
2019-05-24 23:00:00+05:00,24.8,24.22,19.26,0.74,3.62,334.64,0.05,0.0
2019-05-25 00:00:00+05:00,20.9,24.2,18.73,0.71,3.27,338.24,0.02,0.0
2019-05-25 01:00:00+05:00,47.8,23.45,18.18,0.72,2.88,342.7,0.0,0.0
2019-05-25 02:00:00+05:00,43.5,23.25,18.04,0.73,2.65,343.44,0.0,0.0
2019-05-25 03:00:00+05:00,30.1,21.94,17.53,0.76,2.27,354.49,0.0,0.0
2019-05-25 04:00:00+05:00,35.2,21.79,17.53,0.77,2.16,352.66,0.0,0.0
2019-05-25 05:00:00+05:00,42.3,21.87,17.21,0.75,1.93,347.07,0.0,0.0
2019-05-25 06:00:00+05:00,89.0,22.04,17.28,0.74,2.16,348.53,0.0,0.0
2019-05-25 07:00:00+05:00,231.8,24.44,16.85,0.63,1.91,347.32,0.0,0.0
2019-05-25 08:00:00+05:00,115.7,25.59,17.32,0.6,1.78,331.67,0.0,0.0
2019-05-25 09:00:00+05:00,136.4,26.49,18.06,0.6,1.99,306.48,0.0,0.0
2019-05-25 10:00:00+05:00,65.4,30.29,16.77,0.44,2.61,295.21,0.01,0.0
2019-05-25 11:00:00+05:00,46.5,31.4,16.77,0.41,3.4,295.1,0.11,0.0
2019-05-25 12:00:00+05:00,34.3,31.79,16.52,0.4,3.94,298.79,0.09,0.0
2019-05-25 13:00:00+05:00,41.9,33.96,15.08,0.32,4.04,299.9,0.06,0.0
2019-05-25 14:00:00+05:00,37.6,34.14,15.3,0.32,4.08,300.97,0.04,0.0
2019-05-25 15:00:00+05:00,28.0,34.73,14.9,0.31,4.44,297.04,0.09,0.0
2019-05-25 16:00:00+05:00,26.9,34.71,14.75,0.3,4.51,296.51,0.07,0.0
2019-05-25 17:00:00+05:00,24.2,34.49,14.37,0.3,4.38,297.1,0.0,0.0
2019-05-25 18:00:00+05:00,29.2,34.16,12.7,0.27,3.7,298.89,0.02,0.0
2019-05-25 19:00:00+05:00,35.5,31.46,14.97,0.37,2.36,293.94,0.02,0.0
2019-05-25 20:00:00+05:00,77.9,29.35,15.44,0.43,2.11,290.03,0.0,0.0
2019-05-25 21:00:00+05:00,64.5,28.9,15.09,0.43,2.02,284.27,0.0,0.0
2019-05-25 22:00:00+05:00,58.5,27.66,15.9,0.49,2.08,282.84,0.0,0.0
2019-05-25 23:00:00+05:00,79.0,26.37,16.61,0.55,2.13,285.5,0.0,0.0
2019-05-26 00:00:00+05:00,60.9,26.24,16.27,0.54,2.15,292.71,0.0,0.0
2019-05-26 01:00:00+05:00,63.1,25.13,16.44,0.59,2.09,301.51,0.0,0.0
2019-05-26 02:00:00+05:00,71.2,24.73,16.26,0.59,2.1,309.08,0.05,0.0
2019-05-26 03:00:00+05:00,110.3,23.6,16.04,0.63,1.74,322.23,0.07,0.0
2019-05-26 04:00:00+05:00,120.9,23.62,16.41,0.64,1.76,327.3,0.03,0.0
2019-05-26 05:00:00+05:00,150.3,23.8,16.67,0.64,1.7,327.37,0.01,0.0
2019-05-26 06:00:00+05:00,106.9,23.88,16.42,0.63,2.11,327.19,0.01,0.0
2019-05-26 07:00:00+05:00,105.5,28.16,17.03,0.51,1.6,325.0,0.02,0.0
2019-05-26 08:00:00+05:00,92.6,29.34,17.74,0.5,1.65,333.1,0.02,0.0
2019-05-26 09:00:00+05:00,85.6,30.52,17.82,0.47,2.08,340.33,0.01,0.0
2019-05-26 10:00:00+05:00,108.5,34.61,15.05,0.31,1.98,344.47,0.0,0.0
2019-05-26 11:00:00+05:00,74.3,35.47,15.1,0.3,1.68,323.13,0.0,0.0
2019-05-26 12:00:00+05:00,59.8,36.24,15.14,0.29,1.84,294.83,0.06,0.0
2019-05-26 13:00:00+05:00,59.8,38.07,14.13,0.24,2.2,285.9,0.15,0.0
2019-05-26 14:00:00+05:00,57.5,38.26,14.16,0.24,2.49,288.39,0.16,0.0
2019-05-26 15:00:00+05:00,50.9,38.52,14.08,0.24,2.53,255.95,0.89,0.0
2019-05-26 16:00:00+05:00,53.5,38.64,13.76,0.23,3.03,246.21,0.75,0.0
2019-05-26 17:00:00+05:00,44.9,38.16,13.14,0.23,3.56,281.63,0.81,0.0
2019-05-26 18:00:00+05:00,45.8,37.99,8.0,0.16,2.59,327.24,0.3,0.0
2019-05-26 19:00:00+05:00,44.0,34.17,13.26,0.28,1.93,338.53,0.64,0.0
2019-05-26 20:00:00+05:00,49.1,33.57,13.28,0.29,2.15,4.66,0.26,0.0
2019-05-26 21:00:00+05:00,57.7,32.98,13.22,0.3,2.14,32.29,0.1,0.0
2019-05-26 22:00:00+05:00,78.9,30.15,15.33,0.41,2.11,48.19,0.03,0.0
2019-05-26 23:00:00+05:00,78.2,29.16,15.82,0.44,2.39,58.45,0.0,0.0
2019-05-27 00:00:00+05:00,117.7,28.46,15.66,0.46,2.3,61.33,0.0,0.0
2019-05-27 01:00:00+05:00,141.3,26.99,16.07,0.51,2.11,54.64,0.0,0.0
2019-05-27 02:00:00+05:00,127.7,27.28,16.23,0.51,2.06,41.0,0.0,0.0
2019-05-27 03:00:00+05:00,154.1,24.8,16.19,0.59,1.93,17.89,0.0,0.0
2019-05-27 04:00:00+05:00,163.5,24.67,16.64,0.61,1.91,5.93,0.0,0.0
2019-05-27 05:00:00+05:00,156.7,24.84,16.34,0.59,1.96,359.95,0.0,0.0
2019-05-27 06:00:00+05:00,183.5,24.91,15.47,0.56,2.51,1.82,0.0,0.0
2019-05-27 07:00:00+05:00,173.2,29.76,14.65,0.4,2.33,4.47,0.0,0.0
2019-05-27 08:00:00+05:00,183.4,30.93,14.65,0.37,2.21,4.22,0.0,0.0
2019-05-27 09:00:00+05:00,84.6,31.96,14.52,0.35,2.33,2.8,0.0,0.0
2019-05-27 10:00:00+05:00,76.9,36.44,12.13,0.23,2.84,2.19,0.0,0.0
2019-05-27 11:00:00+05:00,79.2,38.09,12.0,0.21,2.88,353.23,0.0,0.0
2019-05-27 12:00:00+05:00,59.1,38.37,12.3,0.21,2.77,341.59,0.01,0.0
2019-05-27 13:00:00+05:00,36.9,40.32,9.4,0.16,2.72,327.93,0.02,0.0
2019-05-27 14:00:00+05:00,35.8,40.54,9.73,0.16,3.0,314.08,0.12,0.0
2019-05-27 15:00:00+05:00,33.9,40.32,7.03,0.13,3.43,303.05,0.37,0.0
2019-05-27 16:00:00+05:00,34.9,40.22,7.24,0.14,3.94,297.97,0.67,0.0
2019-05-27 17:00:00+05:00,38.0,39.8,6.97,0.14,4.03,297.88,0.25,0.0
2019-05-27 18:00:00+05:00,40.6,39.73,-2.49,0.07,2.6,301.5,0.21,0.0
2019-05-27 19:00:00+05:00,32.5,34.85,10.35,0.22,2.49,297.55,0.31,0.0
2019-05-27 20:00:00+05:00,46.5,33.85,11.59,0.26,2.4,304.32,0.22,0.0
2019-05-27 21:00:00+05:00,61.8,33.02,12.08,0.28,2.83,312.1,0.06,0.0
2019-05-27 22:00:00+05:00,84.3,30.29,12.51,0.34,2.81,317.96,0.01,0.0
2019-05-27 23:00:00+05:00,120.6,28.75,14.82,0.43,2.49,322.05,0.0,0.0
2019-05-28 00:00:00+05:00,109.2,28.59,14.6,0.42,2.33,318.71,0.0,0.0
2019-05-28 01:00:00+05:00,119.9,27.48,14.62,0.45,2.38,318.21,0.0,0.0
2019-05-28 02:00:00+05:00,205.5,26.93,14.86,0.48,2.26,326.86,0.0,0.0
2019-05-28 03:00:00+05:00,220.8,25.4,15.07,0.53,1.92,349.22,0.0,0.0
2019-05-28 04:00:00+05:00,186.3,25.07,15.17,0.54,1.97,0.29,0.0,0.0
2019-05-28 05:00:00+05:00,196.0,25.03,14.97,0.54,1.93,7.38,0.0,0.0
2019-05-28 06:00:00+05:00,166.0,25.49,14.57,0.51,1.73,14.01,0.0,0.0
2019-05-28 07:00:00+05:00,116.0,30.83,14.65,0.37,1.29,22.53,0.0,0.0
2019-05-28 08:00:00+05:00,154.1,32.49,14.6,0.34,1.17,16.2,0.0,0.0
2019-05-28 09:00:00+05:00,190.9,34.14,14.88,0.31,1.49,355.93,0.0,0.0
2019-05-28 10:00:00+05:00,107.7,39.15,12.37,0.2,2.17,325.67,0.0,0.0
2019-05-28 11:00:00+05:00,103.5,39.88,12.17,0.19,2.86,320.17,0.0,0.0
2019-05-28 12:00:00+05:00,68.3,40.24,12.35,0.19,3.3,315.53,0.0,0.0
2019-05-28 13:00:00+05:00,51.8,42.02,11.37,0.16,3.7,310.34,0.01,0.0
2019-05-28 14:00:00+05:00,46.6,42.25,11.69,0.16,3.88,305.86,0.01,0.0
